Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Jonathan Adams,WR,Arkansas St.,College Stats,2-Jun,210,4.59,39,,132,7.04,4.38,
Paulson Adebo,CB,Stanford,College Stats,1-Jun,198,4.45,36.5,18,121,6.69,4.13,New Orleans Saints / 3rd / 76th pick / 2021
Giles Amos,TE,Arkansas St.,College Stats,3-Jun,250,5.14,28.5,,111,7.65,5.13,
Zayne Anderson,LB,BYU,College Stats,,,4.46,34,11,120,6.78,4.22,
Otis Anderson,RB,Central Florida,College Stats,7-May,179,4.63,36,11,113,7.04,4.38,
Jack Anderson,OL,Texas Tech,College Stats,4-Jun,314,5.28,29.5,27,105,7.9,4.83,Buffalo Bills / 7th / 236th pick / 2021
Dan Archibong,DT,Temple,College Stats,5-Jun,295,5.35,28.5,28,100,8.16,4.68,
Calvin Ashley,OL,Florida A&M,,6-Jun,314,5.49,29,15,105,7,5.1,
Jaytlin Askew,DB,Georgia Tech,College Stats,8-May,180,4.51,35.5,18,125,7.1,4.31,
Tutu Atwell,WR,Louisville,College Stats,8-May,155,4.42,33,,117,6.89,4.14,Los Angeles Rams / 2nd / 57th pick / 2021
Kayode Awosika,OL,Buffalo,College Stats,3-Jun,307,5.19,30,28,100,8.15,4.91,
Kawaan Baker,WR,South Alabama,College Stats,Jun-00,210,4.44,39.5,21,129,7.42,4.41,
Josh Ball,OL,Marshall,College Stats,7-Jun,308,5.2,27.5,28,106,7.77,4.7,Dallas Cowboys / 4th / 138th pick / 2021
Aaron Banks,OL,Notre Dame,College Stats,5-Jun,325,5.32,31,24,100,7.69,4.89,San Francisco 49ers / 2nd / 48th pick / 2021
Cole Banwart,OL,Iowa,College Stats,1-Jun,298,5.12,27.5,22,103,7.5,4.7,
Christian Barmore,DL,Alabama,College Stats,4-Jun,310,4.93,,,,,,New England Patriots / 2nd / 38th pick / 2021
Derrick Barnes,DE,Purdue,College Stats,Jun-00,238,4.57,37,29,119,,4.27,Detroit Lions / 4th / 113th pick / 2021
Carlos Basham,DL,Wake Forest,College Stats,3-Jun,274,4.64,34,20,122,7.13,4.25,Buffalo Bills / 2nd / 61st pick / 2021
Rashod Bateman,WR,Minnesota,College Stats,Jun-00,190,4.39,36,,123,,,Baltimore Ravens / 1st / 27th pick / 2021
John Bates,TE,Boise St.,College Stats,5-Jun,250,4.84,31.5,19,120,6.85,4.35,
Adam Bay,LS,Wisconsin,College Stats,11-May,240,5.27,26,14,100,7.65,4.56,
Tavante Beckett,LB,Marshall,College Stats,10-May,220,4.78,31,18,106,7.34,4.58,
Chase Behrndt,OL,West Virginia,College Stats,3-Jun,324,5.55,24.5,25,101,8.21,4.93,
Shaun Beyer,TE,Iowa,College Stats,4-Jun,250,4.78,31.5,,119,,4.2,
Tarik Black,WR,Texas,College Stats,2-Jun,213,4.54,40,15,132,6.91,4.26,
Josh Blancato,WR,Georgia Tech,College Stats,9-May,182,4.55,32,17,124,6.9,4.31,
Joshuah Bledsoe,S,Missouri,College Stats,,,,,,,,,New England Patriots / 6th / 188th pick / 2021
Quinton Bohanna,DL,Kentucky,College Stats,4-Jun,327,5.46,29,,99,8.21,5.15,
Nick Bolton,LB,Missouri,College Stats,11-May,237,4.6,32,24,,7.4,4.5,Kansas City Chiefs / 2nd / 58th pick / 2021
Ian Book,QB,Notre Dame,College Stats,Jun-00,211,4.65,32.5,,115,6.99,4.19,New Orleans Saints / 4th / 133rd pick / 2021
Dicaprio Bootle,CB,Nebraska,College Stats,9-May,180,4.38,36.5,16,126,6.77,4.03,
Tuf Borland,LB,Ohio St.,College Stats,Jun-00,229,4.98,32.5,15,109,7.17,4.29,
Larry Borom,OL,Missouri,College Stats,5-Jun,322,5.12,31,,,,,Chicago Bears / 5th / 151st pick / 2021
Rakeem Boyd,RB,Arkansas,College Stats,11-May,213,4.7,32.5,6,98,7.22,4.38,
Michael Boykin,DL,Louisville,College Stats,5-Jun,291,4.88,32,24,110,7.69,4.58,
William Bradley-King,OLB,Baylor,College Stats,3-Jun,252,4.74,34.5,,119,7.14,4.26,Washington Football Team / 7th / 240th pick / 2021
Brady Breeze,S,Oregon,College Stats,11-May,197,4.55,38,20,120,7.05,4.22,Tennessee Titans / 6th / 215th pick / 2021
Gary Brightwell,RB,Arizona,College Stats,10-May,218,4.62,34.5,17,118,7.51,4.48,New York Giants / 6th / 196th pick / 2021
K.J. Britt,LB,Auburn,College Stats,Jun-00,235,4.76,32.5,24,118,7.38,4.4,Tampa Bay Buccaneers / 5th / 176th pick / 2021
Josiah Bronson,DL,Washington,College Stats,2-Jun,304,5.08,30,27,101,7.63,4.72,
Chris Brown,DB,Texas,College Stats,10-May,191,4.55,36,15,118,6.85,4.18,
Earnest Brown,DE,Northwestern,College Stats,4-Jun,270,5.01,31,25,115,7.19,4.5,
Kimere Brown,CB,Temple,College Stats,11-May,175,4.57,32.5,,124,7.37,4.32,
Deonte Brown,OL,Alabama,College Stats,3-Jun,344,,27,,,,,Carolina Panthers / 6th / 193rd pick / 2021
Dyami Brown,WR,North Carolina,College Stats,Jun-00,189,4.46,35,18,128,6.87,4.35,Washington Football Team / 3rd / 82nd pick / 2021
Shakur Brown,CB,Michigan St.,College Stats,9-May,185,4.61,35.5,17,116,7.08,4.23,
Tre Brown,CB,Oklahoma,College Stats,9-May,185,4.42,38,13,123,7.11,4.27,Seattle Seahawks / 4th / 137th pick / 2021
Amon-Ra St. Brown,WR,USC,College Stats,11-May,197,4.51,38.5,20,127,6.88,4.17,Detroit Lions / 4th / 112th pick / 2021
Baron Browning,LB,Ohio St.,College Stats,2-Jun,245,4.58,40,23,130,6.78,4.23,Denver Broncos / 3rd / 105th pick / 2021
John Brunner,OL,North Texas,College Stats,2-Jun,194,,32.5,11,121,6.77,4.3,
Calvin Bundage,LB,Oklahoma St.,College Stats,1-Jun,221,4.81,31.5,14,116,7.31,4.43,
Lorenzo Burns,CB,Arizona,College Stats,10-May,183,4.56,33.5,14,123,7.55,4.51,
Eric Burrell,S,Wisconsin,College Stats,11-May,197,4.73,35.5,8,124,7.21,4.26,
Wesley Burris,LS,Kansas St.,College Stats,9-May,203,5.3,30,12,102,7.51,4.74,
Jake Burton,OL,Baylor,College Stats,5-Jun,303,5.49,26,22,100,8.22,4.97,
Camryn Bynum,CB,California,College Stats,Jun-00,196,4.58,34,,129,6.99,4.1,Minnesota Vikings / 4th / 125th pick / 2021
Jalen Camp,WR,Georgia Tech,College Stats,1-Jun,226,4.48,39.5,29,125,7,4.14,
Donavaughn Campbell,OL,Louisiana Tech,College Stats,4-Jun,336,5.62,22,,93,8.34,5.15,
Kyree Campbell,DL,Florida,College Stats,2-Jun,287,5.46,25,,98,7.96,5.02,
Tyson Campbell,DB,Georgia,College Stats,1-Jun,193,4.4,34.5,12,124,7.15,4.45,Jacksonville Jaguars / 2nd / 33rd pick / 2021
Joseph Carlson,K,Air Force,College Stats,Jun-00,175,,,,,,,
Jackson Carman,OT,Clemson,College Stats,4-Jun,317,,,,,,,Cincinnati Bengals / 2nd / 46th pick / 2021
Tory Carter,FB,LSU,College Stats,Jun-00,229,4.86,35.5,24,112,7.21,4.38,
Michael Carter,RB,North Carolina,College Stats,7-May,201,4.5,34,16,119,6.81,3.98,New York Jets / 4th / 107th pick / 2021
J.C. Chalk,TE,Clemson,College Stats,2-Jun,250,5.18,28.5,15,106,7.83,4.72,
Ja'Marr Chase,WR,LSU,College Stats,Jun-00,201,4.34,41,,132,6.96,3.99,Cincinnati Bengals / 1st / 5th pick / 2021
Ramaud Chiaokhiao-Bowman,WR,Northwestern,College Stats,1-Jun,204,4.78,34.5,11,119,6.78,4.2,
Drue Chrisman,P,Ohio St.,College Stats,2-Jun,209,,,,,,,
Brady Christensen,OL,BYU,College Stats,,,,34,30,124,,,Carolina Panthers / 3rd / 70th pick / 2021
Andre Cisco,DB,Syracuse,College Stats,,,,,17,,,,Jacksonville Jaguars / 3rd / 65th pick / 2021
Mallory Claybourne,CB,Coastal Carolina,College Stats,9-May,191,4.57,33,12,116,7.37,4.32,
Ben Cleveland,OL,Georgia,College Stats,6-Jun,343,5.05,28,30,102,,4.88,Baltimore Ravens / 3rd / 94th pick / 2021
Riley Cole,LB,South Alabama,College Stats,2-Jun,240,4.72,,26,,7.46,4.35,
Nico Collins,WR,Michigan,College Stats,4-Jun,215,4.43,37.5,14,125,6.78,4.29,Houston Texans / 3rd / 89th pick / 2021
Zaven Collins,LB,Tulsa,College Stats,4-Jun,259,4.67,35,19,122,,4.36,Arizona Cardinals / 1st / 16th pick / 2021
Nolan Cooney,P,Syracuse,College Stats,2-Jun,195,,,,,,,
Jonathon Cooper,DE,Ohio St.,College Stats,2-Jun,253,4.69,33,28,108,6.99,4.31,Denver Broncos / 7th / 239th pick / 2021
Samuel Cosmi,OL,Texas,College Stats,5-Jun,314,4.87,30,36,117,7.35,4.39,Washington Football Team / 2nd / 51st pick / 2021
Seth Cottengim,S,Arkansas St.,College Stats,11-May,230,,28.5,,,,,
Jabril Cox,LB,LSU,College Stats,3-Jun,232,,,,,,,Dallas Cowboys / 4th / 115th pick / 2021
Damonte Coxie,WR,Memphis,College Stats,2-Jun,198,4.77,30.5,4,122,6.92,4.45,
Tyler Coyle,LB,Purdue,College Stats,1-Jun,209,4.38,39,24,133,7.14,4,
Jack Crane,K,Wake Forest,College Stats,1-Jun,193,,,,,,,
Daniel Crawford,TE,Northern Illinois,College Stats,1-Jun,245,4.7,32.5,14,113,7.19,4.45,
Shaun Crawford,S,Notre Dame,College Stats,9-May,182,4.55,35,12,116,6.7,4.13,
Harry Crider,OL,Indiana,College Stats,2-Jun,307,5.25,27,31,102,7.63,4.68,
Jake Curhan,OL,California,College Stats,5-Jun,316,5.45,24,15,102,8.07,4.84,
David Curry,LB,Georgia Tech,College Stats,1-Jun,227,,,,,,,
Drew Dalman,C,Stanford,College Stats,3-Jun,299,5.11,33,33,109,7.33,4.52,Atlanta Falcons / 4th / 114th pick / 2021
DJ Daniel,DB,Georgia,College Stats,11-May,195,4.62,31,11,119,7.02,4.12,
Frank Darby,WR,Arizona St.,College Stats,Jun-00,201,4.56,34.5,19,117,7.05,4.25,Atlanta Falcons / 6th / 187th pick / 2021
Jaelon Darden,WR,North Texas,College Stats,7-May,174,4.47,35.5,,122,6.66,3.98,Tampa Bay Buccaneers / 4th / 129th pick / 2021
Corey Dauphine,RB,Tulane,College Stats,11-May,198,4.71,30,14,117,7.4,4.53,
Zach Davidson,TE,Central Missouri St.,,6-Jun,245,4.58,37.5,17,117,6.95,4.19,
Brady Davis,QB,Memphis,College Stats,,,4.65,31,,114,7.06,4.2,
Jamin Davis,LB,Kentucky,College Stats,3-Jun,234,4.47,42,,132,,,Washington Football Team / 1st / 19th pick / 2021
Shawn Davis,DB,Florida,College Stats,10-May,202,,39.5,17,128,,,Indianapolis Colts / 5th / 165th pick / 2021
Wyatt Davis,OL,Ohio St.,College Stats,3-Jun,315,,,25,,,,Minnesota Vikings / 3rd / 86th pick / 2021
Divine Deablo,DB,Virginia Tech,College Stats,3-Jun,226,4.42,34,19,126,7.12,4.4,Las Vegas Raiders / 3rd / 80th pick / 2021
Bryson Denley,RB,Bowling Green,College Stats,7-May,189,4.56,27.5,13,110,7.25,4.57,
Jon Dietzen,OL,Wisconsin,College Stats,4-Jun,312,5.32,27,19,106,7.64,4.85,
Victor Dimukeje,DE,Duke,College Stats,1-Jun,262,4.87,34.5,28,115,7.25,4.35,Arizona Cardinals / 6th / 210th pick / 2021
Brett DioGuardi,LS,Florida,College Stats,3-Jun,234,5.48,24.5,,98,7.88,4.95,
Gerrid Doaks,RB,Cincinnati,College Stats,11-May,228,4.58,39.5,19,120,7.2,4.27,
Max Duffy,P,Kentucky,College Stats,Jun-00,196,,,,,,,
DeVontres Dukes,WR,South Florida,College Stats,3-Jun,216,4.81,33,16,122,7.07,4.41,
Keith Duncan,K,Iowa,College Stats,,176,,,,,,,
Isaiah Dunn,DB,Oregon St.,College Stats,11-May,189,4.39,35.5,13,127,6.93,4.21,
Wes Dvorak,DB,Iowa,College Stats,11-May,198,4.52,41.5,,132,6.94,4.33,
Brennan Eagles,WR,Texas,College Stats,3-Jun,225,4.55,36.5,,125,6.93,4.42,
Adrian Ealy,OL,Oklahoma,College Stats,6-Jun,321,5.42,24.5,18,104,8.82,4.87,
Brandin Echols,DB,Kentucky,College Stats,10-May,179,4.34,42.5,13,136,6.84,4.12,
Sam Ehlinger,QB,Texas,College Stats,1-Jun,220,4.84,36.5,,114,7.15,4.44,Indianapolis Colts / 6th / 218th pick / 2021
Liam Eichenberg,OL,Notre Dame,College Stats,6-Jun,306,,26.5,33,105,7.53,4.58,Miami Dolphins / 2nd / 42nd pick / 2021
Milo Eifler,LB,Illinois,College Stats,2-Jun,228,4.58,37.5,14,126,7.15,4.35,
D'Wayne Eskridge,WR,West. Michigan,College Stats,8-May,190,4.38,35,,124,6.93,4.22,Seattle Seahawks / 2nd / 56th pick / 2021
Dorian Etheridge,LB,Louisville,College Stats,1-Jun,233,4.87,35,,121,7.25,4.47,
Travis Etienne,RB,Clemson,College Stats,10-May,215,4.45,33.5,18,128,,,Jacksonville Jaguars / 1st / 25th pick / 2021
Chris Evans,RB,Michigan,College Stats,11-May,211,4.5,40.5,20,127,6.83,4.12,Cincinnati Bengals / 6th / 202nd pick / 2021
Dillon Faamatau,DL,Oklahoma,College Stats,3-Jun,280,5.35,24.5,22,100,8.58,5.15,
Austin Faoliu,DT,Oregon,College Stats,3-Jun,287,,,,,,,
Matt Farniok,OL,Nebraska,College Stats,5-Jun,311,5.2,33,28,105,7.14,4.8,
Luke Farrell,TE,Ohio St.,College Stats,5-Jun,251,4.79,36.5,22,118,7.14,4.36,Jacksonville Jaguars / 5th / 145th pick / 2021
Simi Fehoko,WR,Stanford,College Stats,3-Jun,222,4.44,34.5,16,120,6.78,4.26,Dallas Cowboys / 5th / 179th pick / 2021
Demetric Felton,RB,UCLA,College Stats,8-May,189,4.55,,,,,,Cleveland Browns / 6th / 211th pick / 2021
Parker Ferguson,OT,Air Force,College Stats,3-Jun,306,5.19,31,24,105,7.75,4.9,
Justin Fields,QB,Ohio St.,College Stats,2-Jun,227,4.45,,,,,,Chicago Bears / 1st / 11th pick / 2021
Tony Fields,LB,West Virginia,College Stats,Jun-00,222,4.64,34,17,114,7.15,4.48,Cleveland Browns / 5th / 153rd pick / 2021
Paddy Fisher,LB,Northwestern,College Stats,3-Jun,240,4.91,31.5,20,110,7,4.47,
Dez Fitzpatrick,WR,Louisville,College Stats,1-Jun,208,4.43,35,,,7.09,4.26,Tennessee Titans / 4th / 109th pick / 2021
Thomas Fletcher,LS,Alabama,College Stats,,,,,,,,,
Paris Ford,DB,Pittsburgh,College Stats,Jun-00,197,4.85,28.5,,110,7.44,4.45,
Darrick Forrest,S,Cincinnati,College Stats,11-May,206,4.42,39,21,132,6.91,4.23,Washington Football Team / 5th / 163rd pick / 2021
Miller Forristall,TE,Alabama,College Stats,,,,,,,,,
Stone Forsythe,OL,Florida,College Stats,8-Jun,307,5.14,27.5,25,103,7.47,4.65,Seattle Seahawks / 6th / 208th pick / 2021
Feleipe Franks,QB,Arkansas,College Stats,6-Jun,234,4.61,32.5,,117,7.16,4.22,
Pat Freiermuth,TE,Penn St.,College Stats,5-Jun,251,,,26,,,,Pittsburgh Steelers / 2nd / 55th pick / 2021
Will Fries,OL,Penn St.,College Stats,6-Jun,309,5.37,31,24,115,7.77,4.53,Indianapolis Colts / 7th / 248th pick / 2021
Jake Funk,RB,Maryland,College Stats,10-May,204,4.49,38,22,122,6.71,4.12,Los Angeles Rams / 7th / 233rd pick / 2021
Kenneth Gainwell,RB,Memphis,College Stats,,201,4.42,,21,,,,Philadelphia Eagles / 5th / 150th pick / 2021
Bailey Gaither,WR,San Jose St.,College Stats,Jun-00,188,4.45,31,9,121,7.07,4.39,
Blake Gallagher,LB,Northwestern,College Stats,11-May,228,4.83,31.5,27,107,7.23,4.4,
Mark Gilbert,CB,Duke,College Stats,Jun-00,186,4.47,36,13,130,7.05,4.37,
Tyree Gillespie,S,Missouri,College Stats,,,4.38,,15,,7.06,,Las Vegas Raiders / 4th / 143rd pick / 2021
Chauncey Golston,DL,Iowa,College Stats,4-Jun,269,4.79,36,,119,7.52,4.65,Dallas Cowboys / 3rd / 84th pick / 2021
