School,Player_Type,Position_Type,Position,Drafted,Team
Ohio St.,offense,backs_receivers,RB,Yes,Arizona Cardinals
Illinois,defense,defensive_lineman,DE,Yes,Arizona Cardinals
LSU,offense,offensive_lineman,OG,Yes,Arizona Cardinals
Alabama,defense,defensive_back,FS,Yes,Arizona Cardinals
Connecticut,defense,line_backer,OLB,Yes,Arizona Cardinals
Cincinnati,offense,offensive_lineman,OG,Yes,Arizona Cardinals
Mississippi,defense,defensive_lineman,DT,Yes,Atlanta Falcons
North Carolina,offense,offensive_lineman,OT,Yes,Atlanta Falcons
Richmond,defense,defensive_lineman,DE,Yes,Atlanta Falcons
San Jose St.,defense,defensive_back,CB,Yes,Atlanta Falcons
Missouri,defense,defensive_back,SS,Yes,Atlanta Falcons
Georgia Tech,defense,defensive_lineman,DT,Yes,Atlanta Falcons
Mississippi,offense,offensive_lineman,OT,Yes,Baltimore Ravens
East Carolina,offense,backs_receivers,TE,Yes,Baltimore Ravens
TCU,defense,line_backer,ILB,Yes,Baltimore Ravens
Nicholls St.,defense,defensive_back,CB,Yes,Baltimore Ravens
Utah,defense,defensive_lineman,DE,Yes,Baltimore Ravens
Virginia,offense,backs_receivers,RB,Yes,Baltimore Ravens
Penn St.,defense,defensive_lineman,DE,Yes,Buffalo Bills
Southern Miss,offense,backs_receivers,TE,Yes,Buffalo Bills
Oregon St.,offense,offensive_lineman,OG,Yes,Buffalo Bills
Oregon,defense,defensive_back,CB,Yes,Buffalo Bills
USC,defense,defensive_back,CB,Yes,Buffalo Bills
Louisville,offense,offensive_lineman,C,Yes,Buffalo Bills
Oklahoma,defense,line_backer,OLB,Yes,Buffalo Bills
Florida St.,defense,defensive_lineman,DE,Yes,Carolina Panthers
Syracuse,offense,backs_receivers,FB,Yes,Carolina Panthers
Texas A&M,offense,backs_receivers,RB,Yes,Carolina Panthers
Georgia,defense,defensive_lineman,DT,Yes,Carolina Panthers
South Carolina,defense,defensive_back,CB,Yes,Carolina Panthers
Troy,defense,defensive_back,CB,Yes,Carolina Panthers
Oklahoma,offense,offensive_lineman,OG,Yes,Carolina Panthers
San Jose St.,defense,defensive_lineman,DE,Yes,Chicago Bears
Ohio St.,defense,line_backer,OLB,Yes,Chicago Bears
Abilene Christian,offense,backs_receivers,WR,Yes,Chicago Bears
Vanderbilt,defense,defensive_back,CB,Yes,Chicago Bears
Oklahoma,offense,backs_receivers,WR,Yes,Chicago Bears
Alabama,offense,offensive_lineman,OT,Yes,Cincinnati Bengals
Arkansas,offense,offensive_lineman,C,Yes,Cincinnati Bengals
Missouri,offense,backs_receivers,TE,Yes,Cincinnati Bengals
Abilene Christian,offense,backs_receivers,RB,Yes,Cincinnati Bengals
Georgia Tech,defense,defensive_lineman,DE,Yes,Cincinnati Bengals
Michigan,defense,defensive_back,CB,Yes,Cincinnati Bengals
USC,defense,line_backer,ILB,Yes,Cincinnati Bengals
Cincinnati,special_teams,kicking_specialist,P,Yes,Cincinnati Bengals
California,offense,offensive_lineman,C,Yes,Cleveland Browns
USC,defense,line_backer,OLB,Yes,Cleveland Browns
Hawaii,defense,defensive_lineman,DE,Yes,Cleveland Browns
Clemson,offense,backs_receivers,RB,Yes,Cleveland Browns
Georgia,offense,backs_receivers,WR,Yes,Cleveland Browns
San Jose St.,defense,defensive_back,CB,Yes,Cleveland Browns
Ohio St.,offense,backs_receivers,WR,Yes,Cleveland Browns
Norfolk St.,defense,defensive_back,CB,Yes,Cleveland Browns
Ball St.,offense,offensive_lineman,OT,Yes,Dallas Cowboys
Cincinnati,defense,defensive_back,CB,Yes,Dallas Cowboys
Virginia,offense,backs_receivers,TE,Yes,Dallas Cowboys
Texas Tech,defense,defensive_lineman,DE,Yes,Dallas Cowboys
TCU,defense,line_backer,OLB,Yes,Dallas Cowboys
Oregon St.,defense,line_backer,OLB,Yes,Dallas Cowboys
USC,special_teams,kicking_specialist,K,Yes,Dallas Cowboys
Oklahoma,offense,backs_receivers,WR,Yes,Dallas Cowboys
Texas A&M,offense,backs_receivers,QB,Yes,Dallas Cowboys
Clemson,defense,defensive_back,SS,Yes,Dallas Cowboys
Cincinnati,defense,defensive_back,CB,Yes,Dallas Cowboys
