Player,Pos,40yd,Round
Jonathan Adams,WR,4.59,Undrafted
Giles Amos,TE,5.14,Undrafted
Otis Anderson,RB,4.63,Undrafted
Tutu Atwell,WR,4.42,2
Kawaan Baker,WR,4.44,Undrafted
Rashod Bateman,WR,4.39,1
John Bates,TE,4.84,Undrafted
Shaun Beyer,TE,4.78,Undrafted
Tarik Black,WR,4.54,Undrafted
Josh Blancato,WR,4.55,Undrafted
Ian Book,QB,4.65,4
Rakeem Boyd,RB,4.7,Undrafted
Gary Brightwell,RB,4.62,6
Dyami Brown,WR,4.46,3
Amon-Ra St. Brown,WR,4.51,4
Jalen Camp,WR,4.48,Undrafted
Michael Carter,RB,4.5,4
J.C. Chalk,TE,5.18,Undrafted
Ja'Marr Chase,WR,4.34,1
Ramaud Chiaokhiao-Bowman,WR,4.78,Undrafted
Nico Collins,WR,4.43,3
Damonte Coxie,WR,4.77,Undrafted
Daniel Crawford,TE,4.7,Undrafted
Frank Darby,WR,4.56,6
Jaelon Darden,WR,4.47,4
Corey Dauphine,RB,4.71,Undrafted
Zach Davidson,TE,4.58,Undrafted
Brady Davis,QB,4.65,Undrafted
Bryson Denley,RB,4.56,Undrafted
Gerrid Doaks,RB,4.58,Undrafted
DeVontres Dukes,WR,4.81,Undrafted
Brennan Eagles,WR,4.55,Undrafted
Sam Ehlinger,QB,4.84,6
D'Wayne Eskridge,WR,4.38,2
Travis Etienne,RB,4.45,1
Chris Evans,RB,4.5,6
Luke Farrell,TE,4.79,5
Simi Fehoko,WR,4.44,5
Demetric Felton,RB,4.55,6
Justin Fields,QB,4.45,1
Dez Fitzpatrick,WR,4.43,4
Feleipe Franks,QB,4.61,Undrafted
Jake Funk,RB,4.49,7
Kenneth Gainwell,RB,4.42,5
Bailey Gaither,WR,4.45,Undrafted
Noah Gray,TE,4.55,5
Trevon Grimes,WR,4.49,Undrafted
Garrett Groshek,RB,4.64,Undrafted
Adrian Hardy,WR,4.61,Undrafted
Scooter Harrington,TE,5.19,Undrafted
Jacob Harris,WR,4.39,Undrafted
Jaylen Harris,WR,4.77,Undrafted
Jake Hausmann,TE,4.98,Undrafted
Javian Hawkins,RB,4.46,Undrafted
Damon Hazelton,WR,4.6,Undrafted
Justin Henderson,RB,4.65,Undrafted
Khalil Herbert,RB,4.46,6
Kylin Hill,RB,4.51,7
Chuba Hubbard,RB,4.48,4
Josh Imatorbhebhe,WR,4.53,Undrafted
Deon Jackson,RB,4.41,Undrafted
Warren Jackson,WR,4.68,Undrafted
Jermar Jefferson,RB,4.57,7
Josh Johnson,RB,4.61,Undrafted
Jamal Jones,RB,4.67,Undrafted
Mac Jones,QB,4.72,1
Brevin Jordan,TE,4.64,5
Terrace Marshall Jr.,WR,4.4,Undrafted
Hunter Kampmoyer,TE,4.83,Undrafted
Brenden Knox,RB,4.67,Undrafted
Adam Krumholz,WR,4.6,Undrafted
Bruno Labelle,TE,4.73,Undrafted
Riley Lees,WR,4.47,Undrafted
Branden Mack,WR,4.66,Undrafted
CJ Marable,RB,4.59,Undrafted
Ben Mason,TE,4.73,Undrafted
Khalil McClain,WR,4.7,Undrafted
Sandon McCoy,RB,4.78,Undrafted
Greg McCrae,RB,4.57,Undrafted
Isaiah McKoy,WR,4.68,Undrafted
Racey McMath,WR,4.36,6
Davis Mills,QB,4.82,3
Dedrick Mills,RB,4.65,Undrafted
Dax Milne,WR,4.54,7
Elijah Mitchell,RB,4.38,6
Briley Moore,TE,4.66,Undrafted
David Moore,QB,4.86,Undrafted
Elijah Moore,WR,4.35,2
Rondale Moore,WR,4.28,2
Quintin Morris,TE,4.6,Undrafted
Dazz Newsome,WR,4.59,6
Tre Nixon,WR,4.44,7
Antonio Nunn,WR,4.5,Undrafted
Jaret Patterson,RB,4.59,Undrafted
Josh Pederson,TE,4.81,Undrafted
Whop Philyor,WR,4.57,Undrafted
Kyle Pitts,TE,4.44,1
Cornell Powell,WR,4.53,5
Blake Proehl,WR,4.47,Undrafted
Trey Ragas,RB,4.6,Undrafted
John Raine,TE,5.05,Undrafted
Peyton Ramsey,QB,4.77,Undrafted
Amari Rodgers,WR,4.52,3
Asim Rose,RB,4.51,Undrafted
Larry Rountree,RB,4.62,6
Mekhi Sargent,RB,4.62,Undrafted
Anthony Schwartz,WR,4.27,3
Stevie Scott,RB,4.66,Undrafted
Trey Sermon,RB,4.57,3
Brandon Smith,WR,4.62,Undrafted
Zach Smith,QB,5.23,Undrafted
Ihmir Smith-Marsette,WR,4.43,5
Marquez Stevenson,WR,4.48,6
Rhamondre Stevenson,RB,4.64,4
Jack Stoll,TE,4.6,Undrafted
Dillon Stoner,WR,4.51,Undrafted
Eli Stove,WR,4.54,Undrafted
Sage Surratt,WR,4.66,Undrafted
Tamorrion Terry,WR,4.44,Undrafted
Zac Thomas,QB,4.59,Undrafted
Kevin Thomson,QB,4.75,Undrafted
Kadarius Toney,WR,4.39,1
Kyle Trask,QB,5.1,2
Tommy Tremble,TE,4.6,3
Harry Trotter,RB,4.63,Undrafted
Israel Tucker,RB,4.6,Undrafted
Tyler Vaughns,WR,4.62,Undrafted
Tre Walker,WR,4.58,Undrafted
Tylan Wallace,WR,4.48,4
Connor Wedington,WR,4.47,Undrafted
Brady White,QB,4.84,Undrafted
Javonte Williams,RB,4.55,2
Marlon Williams,WR,4.63,Undrafted
Pooka Williams,RB,4.46,Undrafted
Seth Williams,WR,4.49,6
Brock Wright,TE,4.62,Undrafted
Ryquell Armstead,RB,4.45,5
Alex Barnes,RB,4.59,Undrafted
Kendall Blanton,TE,4.95,Undrafted
Miles Boykin,WR,4.42,3
Nick Brossette,RB,4.72,Undrafted
A.J. Brown,WR,4.49,2
Keenen Brown,TE,4.75,Undrafted
Jake Browning,QB,4.74,Undrafted
Hakeem Butler,WR,4.48,4
Parris Campbell,WR,4.31,2
Jamal Custis,WR,4.5,Undrafted
Johnnie Dixon,WR,4.41,Undrafted
Ashton Dulin,WR,4.43,Undrafted
Jovon Durante,WR,4.55,Undrafted
Noah Fant,TE,4.5,1
Jazz Ferguson,WR,4.45,Undrafted
Ryan Finley,QB,4.73,4
Nick Fitzgerald,QB,4.64,Undrafted
Travis Fulgham,WR,4.58,6
Myles Gaskin,RB,4.58,7
Zach Gentry,TE,4.9,5
Terry Godwin,WR,4.55,7
Will Grier,QB,4.84,3
Emanuel Hall,WR,4.39,Undrafted
Mecole Hardman,WR,4.33,2
Kelvin Harmon,WR,4.6,6
Damien Harris,RB,4.57,3
N'Keal Harry,WR,4.53,1
Dwayne Haskins,QB,5.04,1
Daniel Helm,TE,4.89,Undrafted
Darrell Henderson,RB,4.49,3
Karan Higdon,RB,4.49,Undrafted
Justice Hill,RB,4.4,4
T.J. Hockenson,TE,4.7,1
Elijah Holyfield,RB,4.78,Undrafted
Travis Homer,RB,4.48,6
Lil'Jordan Humphrey,WR,4.75,Undrafted
Andy Isabella,WR,4.31,2
Tyree Jackson,QB,4.59,Undrafted
Gary Jennings,WR,4.42,4
Diontae Johnson,WR,4.53,3
Keesean Johnson,WR,4.6,6
Bisi Johnson,WR,4.51,7
Daniel Jones,QB,4.81,1
Drew Lock,QB,4.69,2
Damarkus Lodge,WR,4.55,Undrafted
Alize Mack,TE,4.7,7
Alexander Mattison,RB,4.67,3
Terry McLaurin,WR,4.35,3
Trace McSorley,QB,4.57,6
D.K. Metcalf,WR,4.33,2
Jakobi Meyers,WR,4.63,Undrafted
Gardner Minshew,QB,4.97,6
Dillon Mitchell,WR,4.46,7
David Montgomery,RB,4.63,3
Foster Moreau,TE,4.66,4
Stanley Morgan,WR,4.53,Undrafted
Nyqwan Murray,WR,4.63,Undrafted
Isaac Nauta,TE,4.91,7
Josh Oliver,TE,4.63,3
Qadree Ollison,RB,4.58,5
Tony Pollard,RB,4.52,4
Dax Raymond,TE,4.73,Undrafted
Hunter Renfrow,WR,4.59,5
Riley Ridley,WR,4.58,4
Brett Rypien,QB,4.91,Undrafted
Drew Sample,TE,4.71,2
Deebo Samuel,WR,4.48,2
Miles Sanders,RB,4.49,2
Jordan Scarlett,RB,4.47,5
Kyle Shurmur,QB,4.91,Undrafted
David Sills,WR,4.57,Undrafted
Devin Singletary,RB,4.66,3
Darius Slayton,WR,4.39,5
Irv Smith,TE,4.63,2
Jaylen Smith,WR,4.47,Undrafted
Kaden Smith,TE,4.92,6
Benny Snell,RB,4.66,4
Jace Sternberger,TE,4.75,3
Easton Stick,QB,4.62,5
Jarrett Stidham,QB,4.81,4
Tommy Sweeney,TE,4.83,7
Jordan Ta'amu,QB,4.77,Undrafted
Cody Thompson,WR,4.57,Undrafted
Kahale Warring,TE,4.67,3
Jamarius Way,WR,4.63,Undrafted
Mike Weber,RB,4.47,7
Trevon Wesco,TE,4.89,4
Alex Wesley,WR,4.45,Undrafted
Dexter Williams,RB,4.57,6
James Williams,RB,4.58,Undrafted
Trayveon Williams,RB,4.51,6
Caleb Wilson,TE,4.56,7
Austin Allen,TE,4.83,Undrafted
Tyler Allgeier,RB,4.6,5
Calvin Austin,WR,4.32,4
Tyler Badie,RB,4.45,6
David Bell,WR,4.65,3
Daniel Bellinger,TE,4.63,4
Slade Bolden,WR,4.66,Undrafted
Kennedy Brooks,RB,4.59,Undrafted
Leddie Brown,RB,4.64,Undrafted
Treylon Burks,WR,4.55,1
Grant Calcaterra,TE,4.62,6
Tykevious Chandler,RB,4.38,5
Jack Coan,QB,4.9,Undrafted
Snoop Conner,RB,4.59,5
James Cook,RB,4.42,2
Dustin Crum,QB,4.75,Undrafted
Tyrion Davis-Price,RB,4.48,3
Dai'Jean Dixon,WR,4.62,Undrafted
Jahan Dotson,WR,4.43,1
Dontario Drummond,WR,4.65,Undrafted
Greg Dulcich,TE,4.69,3
Jerrion Ealy,RB,4.52,Undrafted
Trestan Ebner,RB,4.43,6
Jake Ferguson,TE,4.81,4
Jerome Ford,RB,4.46,5
Ty Fryfogle,WR,4.53,Undrafted
Tyler Goodson,RB,4.42,Undrafted
Danny Gray,WR,4.33,3
Breece Hall,RB,4.39,2
Jeremiah Hall,TE,4.96,Undrafted
Peyton Hendershot,TE,4.8,Undrafted
Connor Heyward,TE,4.72,6
Curtis Hodges,TE,4.85,Undrafted
Johnny Johnson III,WR,4.6,Undrafted
Keaontay Ingram,RB,4.53,6
Velus Jones,WR,4.31,3
Kevin Austin Jr.,WR,4.43,Undrafted
Zonovan Knight,RB,4.58,Undrafted
Sincere McCormick,RB,4.6,Undrafted
Bo Melton,WR,4.34,7
Skyy Moore,WR,4.41,2
Jalen Nailor,WR,4.5,6
Chigoziem Okonkwo,TE,4.52,4
Chris Olave,WR,4.39,1
Isiah Pacheco,RB,4.37,7
EJ Perry,QB,4.65,Undrafted
Kyle Philips,WR,4.58,5
George Pickens,WR,4.47,2
Kenny Pickett,QB,4.73,1
Alec Pierce,WR,4.41,2
Dameon Pierce,RB,4.59,4
Makai Polk,WR,4.59,Undrafted
D'vonte Price,RB,4.38,Undrafted
Brock Purdy,QB,4.84,7
Charleston Rambo,WR,4.57,Undrafted
Desmond Ridder,QB,4.52,3
Ronnie Rivers,RB,4.6,Undrafted
Brian Robinson,RB,4.53,3
Wan'Dale Robinson,WR,4.44,2
Braylon Sanders,WR,4.48,Undrafted
Khalil Shakir,WR,4.43,5
Pierre Strong,RB,4.37,4
Skylar Thompson,QB,4.91,7
Tyquan Thornton,WR,4.28,2
Jalen Tolbert,WR,4.49,3
Cole Turner,TE,4.76,5
Tré Turner,WR,4.51,Undrafted
Kenneth Walker,RB,4.38,2
Jaylen Warren,RB,4.55,Undrafted
Christian Watson,WR,4.36,2
Isaiah Weston,WR,4.42,Undrafted
Rachaad White,RB,4.48,3
Zamir White,RB,4.4,4
Devon Williams,WR,4.65,Undrafted
Kyren Williams,RB,4.65,5
Garrett Wilson,WR,4.38,1
Jelani Woods,TE,4.61,3
Mike Woods,WR,4.55,6
Bailey Zappe,QB,4.88,4
Devon Achane,RB,4.32,3
Jordan Addison,WR,4.49,1
Tyson Bagent,QB,4.79,Undrafted
Ronnie Bell,WR,4.54,7
Stetson Bennett,QB,4.67,4
Tank Bigsby,RB,4.56,3
Kayshon Boutte,WR,4.5,6
Jalen Brooks,WR,4.69,7
Chase Brown,RB,4.43,5
Jason Brownlee,WR,4.59,Undrafted
Zach Charbonnet,RB,4.53,2
Jacob Copeland,WR,4.42,Undrafted
Malik Cunningham,QB,4.53,Undrafted
Derius Davis,WR,4.36,4
Nathaniel Dell,WR,4.49,3
Demario Douglas,WR,4.44,Undrafted
Josh Downs,WR,4.48,3
Grant DuBose,WR,4.57,Undrafted
Max Duggan,QB,4.52,7
Tiyon Evans,RB,4.52,Undrafted
Zay Flowers,WR,4.42,1
Bryce Ford-Wheaton,WR,4.38,Undrafted
Jahmyr Gibbs,RB,4.36,1
Antoine Green,WR,4.47,7
Jadon Haselwood,WR,4.66,Undrafted
Malik Heath,WR,4.64,Undrafted
Elijah Higgins,WR,4.54,6
Evan Hull,RB,4.47,Undrafted
Xavier Hutchinson,WR,4.53,6
Jalin Hyatt,WR,4.4,3
Andrei Iosivas,WR,4.43,Undrafted
Kearis Jackson,WR,4.55,Undrafted
Rakim Jarrett,WR,4.44,Undrafted
Michael Jefferson,WR,4.56,Undrafted
Jaray Jenkins,WR,4.6,Undrafted
Roschon Johnson,RB,4.58,4
Charlie Jones,WR,4.43,4
Dontay Demus Jr.,WR,4.57,Undrafted
Matt Landers,WR,4.37,Undrafted
Kenny McIntosh,RB,4.62,7
Marvin Mims,WR,4.38,2
Jonathan Mingo,WR,4.46,2
Keaton Mitchell,RB,4.37,Undrafted
Jalen Moreno-Cropper,WR,4.4,Undrafted
Joseph Ngata,WR,4.54,Undrafted
Trey Palmer,WR,4.33,6
Camerun Peoples,RB,4.61,Undrafted
A.T. Perry,WR,4.47,6
Deneric Prince,RB,4.41,Undrafted
Jayden Reed,WR,4.45,2
Rashee Rice,WR,4.51,2
Anthony Richardson,QB,4.43,1
Bijan Robinson,RB,4.46,1
Tyler Scott,WR,4.44,4
Justin Shorter,WR,4.55,5
Tavion Thomas,RB,4.74,Undrafted
SaRodorick Thompson,RB,4.67,Undrafted
Dorian Thompson-Robinson,QB,4.56,5
Cedric Tillman,WR,4.54,3
Mitchell Tinsley,WR,4.6,Undrafted
Tre Tucker,WR,4.4,3
Clayton Tune,QB,4.64,5
Jalen Wayne,WR,4.51,Undrafted
Dontayvion Wicks,WR,4.62,5
Michael Wilson,WR,4.58,3
Salvon Ahmed,RB,4.62,Undrafted
Brandon Aiyuk,WR,4.5,1
Cam Akers,RB,4.47,2
Jet Anderson,RB,4.61,Undrafted
Devin Asiasi,TE,4.73,3
Omar Bayless,WR,4.62,Undrafted
LeVante Bellamy,RB,4.5,Undrafted
Eno Benjamin,RB,4.57,7
Tony Brown,WR,4.65,Undrafted
Harrison Bryant,TE,4.73,4
Hunter Bryant,TE,4.74,Undrafted
Kelly Bryant,QB,4.69,Undrafted
Raymond Calais,RB,4.42,7
Marquez Callaway,WR,4.55,Undrafted
Quintez Cephus,WR,4.73,5
Chase Claypool,WR,4.42,2
Tyrie Cleveland,WR,4.46,7
Isaiah Coulter,WR,4.45,5
DeeJay Dallas,RB,4.58,4
Kevin Davidson,QB,5,Undrafted
Gabriel Davis,WR,4.54,4
Quartney Davis,WR,4.54,Undrafted
Josiah Deguara,TE,4.72,3
AJ Dillon,RB,4.53,2
Rico Dowdle,RB,4.54,Undrafted
Devin Duvernay,WR,4.39,3
Jacob Eason,QB,4.89,4
Clyde Edwards-Helaire,RB,4.6,1
Darrynton Evans,RB,4.41,3
Chris Finke,WR,4.57,Undrafted
Jake Fromm,QB,5.01,5
Aaron Fuller,WR,4.59,Undrafted
Antonio Gandy-Golden,WR,4.6,4
Antonio Gibson,WR,4.39,3
Stephen Guidry,WR,4.47,Undrafted
JaMycal Hasty,RB,4.55,Undrafted
Justin Herbert,QB,4.68,1
Brian Herrien,RB,4.62,Undrafted
John Hightower,WR,4.43,5
K.J. Hill,WR,4.6,7
Isaiah Hodgins,WR,4.61,6
Brycen Hopkins,TE,4.66,4
Jalen Hurts,QB,4.59,2
Henry Ruggs III,WR,4.27,1
Trishton Jackson,WR,4.5,Undrafted
Justin Jefferson,WR,4.43,1
Jauan Jennings,WR,4.72,7
Jerry Jeudy,WR,4.45,1
Juwan Johnson,WR,4.58,Undrafted
Tony Jones,RB,4.68,Undrafted
Laviska Shenault Jr.,WR,4.58,2
Dalton Keene,TE,4.71,3
Joshua Kelley,RB,4.49,4
Cole Kmet,TE,4.7,2
CeeDee Lamb,WR,4.5,1
Javon Leake,RB,4.65,Undrafted
Benny LeMay,RB,4.75,Undrafted
Brian Lewerke,QB,4.95,Undrafted
Kalija Lipscomb,WR,4.57,Undrafted
Jordan Love,QB,4.74,1
Austin Mack,WR,4.59,Undrafted
Cole McDonald,QB,4.58,7
Anthony McFarland,RB,4.44,4
Denzel Mims,WR,4.38,2
Steven Montez,QB,4.68,Undrafted
Darnell Mooney,WR,4.38,5
James Morgan,QB,4.89,4
Zack Moss,RB,4.65,3
C.J. O'Grady,TE,4.81,Undrafted
Albert Okwuegbunam,TE,4.49,4
Sewo Olonilua,RB,4.66,Undrafted
K.J. Osborn,WR,4.48,5
Aaron Parker,WR,4.57,Undrafted
Colby Parkinson,TE,4.77,4
Dezmon Patmon,WR,4.48,6
Shea Patterson,QB,4.71,Undrafted
Donovan Peoples-Jones,WR,4.48,6
